Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2004,7,45-54,0,Total,1,White Non Hispanic,4,Kings,120023
2004,7,45-54,0,Total,2,Black Non Hispanic,4,Kings,116286
2004,7,45-54,0,Total,3,Other Non Hispanic,4,Kings,34447
2004,7,45-54,0,Total,5,Hispanic,4,Kings,55578
2004,7,45-54,1,Male,0,Total,4,Kings,149907
2004,7,45-54,1,Male,1,White Non Hispanic,4,Kings,58658
2004,7,45-54,1,Male,2,Black Non Hispanic,4,Kings,47904
2004,7,45-54,1,Male,3,Other Non Hispanic,4,Kings,18147
2004,7,45-54,1,Male,5,Hispanic,4,Kings,25198
2004,7,45-54,2,Female,0,Total,4,Kings,176427
2004,7,45-54,2,Female,1,White Non Hispanic,4,Kings,61365
2004,7,45-54,2,Female,2,Black Non Hispanic,4,Kings,68382
2004,7,45-54,2,Female,3,Other Non Hispanic,4,Kings,16300
2004,7,45-54,2,Female,5,Hispanic,4,Kings,30380
2004,8,55-64,0,Total,0,Total,4,Kings,230832
2004,8,55-64,0,Total,1,White Non Hispanic,4,Kings,93074
2004,8,55-64,0,Total,2,Black Non Hispanic,4,Kings,80628
2004,8,55-64,0,Total,3,Other Non Hispanic,4,Kings,18774
2004,8,55-64,0,Total,5,Hispanic,4,Kings,38356
2004,8,55-64,1,Male,0,Total,4,Kings,101466
2004,8,55-64,1,Male,1,White Non Hispanic,4,Kings,43476
2004,8,55-64,1,Male,2,Black Non Hispanic,4,Kings,31847
2004,8,55-64,1,Male,3,Other Non Hispanic,4,Kings,9343
2004,8,55-64,1,Male,5,Hispanic,4,Kings,16800
2004,8,55-64,2,Female,0,Total,4,Kings,129366
2004,8,55-64,2,Female,1,White Non Hispanic,4,Kings,49598
2004,8,55-64,2,Female,2,Black Non Hispanic,4,Kings,48781
2004,8,55-64,2,Female,3,Other Non Hispanic,4,Kings,9431
2004,8,55-64,2,Female,5,Hispanic,4,Kings,21556
2004,9,65-74,0,Total,0,Total,4,Kings,148085
2004,9,65-74,0,Total,1,White Non Hispanic,4,Kings,68620
2004,9,65-74,0,Total,2,Black Non Hispanic,4,Kings,47143
2004,9,65-74,0,Total,3,Other Non Hispanic,4,Kings,11563
2004,9,65-74,0,Total,5,Hispanic,4,Kings,20759
2004,9,65-74,1,Male,0,Total,4,Kings,61392
2004,9,65-74,1,Male,1,White Non Hispanic,4,Kings,29719
2004,9,65-74,1,Male,2,Black Non Hispanic,4,Kings,17687
2004,9,65-74,1,Male,3,Other Non Hispanic,4,Kings,5523
2004,9,65-74,1,Male,5,Hispanic,4,Kings,8463
2004,9,65-74,2,Female,0,Total,4,Kings,86693
2004,9,65-74,2,Female,1,White Non Hispanic,4,Kings,38901
2004,9,65-74,2,Female,2,Black Non Hispanic,4,Kings,29456
2004,9,65-74,2,Female,3,Other Non Hispanic,4,Kings,6040
2004,9,65-74,2,Female,5,Hispanic,4,Kings,12296
2004,10,75-84,0,Total,0,Total,4,Kings,104462
2004,10,75-84,0,Total,1,White Non Hispanic,4,Kings,62847
2004,10,75-84,0,Total,2,Black Non Hispanic,4,Kings,25825
2004,10,75-84,0,Total,3,Other Non Hispanic,4,Kings,5521
2004,10,75-84,0,Total,5,Hispanic,4,Kings,10269
2004,10,75-84,1,Male,0,Total,4,Kings,38662
2004,10,75-84,1,Male,1,White Non Hispanic,4,Kings,24200
2004,10,75-84,1,Male,2,Black Non Hispanic,4,Kings,8300
2004,10,75-84,1,Male,3,Other Non Hispanic,4,Kings,2476
2004,10,75-84,1,Male,5,Hispanic,4,Kings,3686
2004,10,75-84,2,Female,0,Total,4,Kings,65800
2004,10,75-84,2,Female,1,White Non Hispanic,4,Kings,38647
2004,10,75-84,2,Female,2,Black Non Hispanic,4,Kings,17525
2004,10,75-84,2,Female,3,Other Non Hispanic,4,Kings,3045
2004,10,75-84,2,Female,5,Hispanic,4,Kings,6583
2004,11,85+,0,Total,0,Total,4,Kings,42555
2004,11,85+,0,Total,1,White Non Hispanic,4,Kings,29044
2004,11,85+,0,Total,2,Black Non Hispanic,4,Kings,9110
2004,11,85+,0,Total,3,Other Non Hispanic,4,Kings,1512
2004,11,85+,0,Total,5,Hispanic,4,Kings,2889
2004,11,85+,1,Male,0,Total,4,Kings,12871
2004,11,85+,1,Male,1,White Non Hispanic,4,Kings,9039
2004,11,85+,1,Male,2,Black Non Hispanic,4,Kings,2359
2004,11,85+,1,Male,3,Other Non Hispanic,4,Kings,565
2004,11,85+,1,Male,5,Hispanic,4,Kings,908
2004,11,85+,2,Female,0,Total,4,Kings,29684
2004,11,85+,2,Female,1,White Non Hispanic,4,Kings,20005
2004,11,85+,2,Female,2,Black Non Hispanic,4,Kings,6751
2004,11,85+,2,Female,3,Other Non Hispanic,4,Kings,947
2004,11,85+,2,Female,5,Hispanic,4,Kings,1981
2005,0,Total,0,Total,0,Total,4,Kings,2486235
2005,0,Total,0,Total,1,White Non Hispanic,4,Kings,895180
2005,0,Total,0,Total,2,Black Non Hispanic,4,Kings,865291
2005,0,Total,0,Total,3,Other Non Hispanic,4,Kings,232039
2005,0,Total,0,Total,5,Hispanic,4,Kings,493725
2005,0,Total,1,Male,0,Total,4,Kings,1170815
2005,0,Total,1,Male,1,White Non Hispanic,4,Kings,432039
2005,0,Total,1,Male,2,Black Non Hispanic,4,Kings,380620
2005,0,Total,1,Male,3,Other Non Hispanic,4,Kings,117764
2005,0,Total,1,Male,5,Hispanic,4,Kings,240392
2005,0,Total,2,Female,0,Total,4,Kings,1315420
2005,0,Total,2,Female,1,White Non Hispanic,4,Kings,463141
2005,0,Total,2,Female,2,Black Non Hispanic,4,Kings,484671
2005,0,Total,2,Female,3,Other Non Hispanic,4,Kings,114275
2005,0,Total,2,Female,5,Hispanic,4,Kings,253333
2005,1,<1,0,Total,0,Total,4,Kings,40168
2005,1,<1,0,Total,1,White Non Hispanic,4,Kings,13452
2005,1,<1,0,Total,2,Black Non Hispanic,4,Kings,13760
2005,1,<1,0,Total,3,Other Non Hispanic,4,Kings,3672
2005,1,<1,0,Total,5,Hispanic,4,Kings,9284
2005,1,<1,1,Male,0,Total,4,Kings,20611
2005,1,<1,1,Male,1,White Non Hispanic,4,Kings,6982
2005,1,<1,1,Male,2,Black Non Hispanic,4,Kings,7028
2005,1,<1,1,Male,3,Other Non Hispanic,4,Kings,1906
2005,1,<1,1,Male,5,Hispanic,4,Kings,4695
2005,1,<1,2,Female,0,Total,4,Kings,19557
2005,1,<1,2,Female,1,White Non Hispanic,4,Kings,6470
2005,1,<1,2,Female,2,Black Non Hispanic,4,Kings,6732
2005,1,<1,2,Female,3,Other Non Hispanic,4,Kings,1766
2005,1,<1,2,Female,5,Hispanic,4,Kings,4589
2005,2,01-09,0,Total,0,Total,4,Kings,326681
2005,2,01-09,0,Total,1,White Non Hispanic,4,Kings,105081
2005,2,01-09,0,Total,2,Black Non Hispanic,4,Kings,116479
2005,2,01-09,0,Total,3,Other Non Hispanic,4,Kings,29003
2005,2,01-09,0,Total,5,Hispanic,4,Kings,76118
2005,2,01-09,1,Male,0,Total,4,Kings,167015
2005,2,01-09,1,Male,1,White Non Hispanic,4,Kings,54359
2005,2,01-09,1,Male,2,Black Non Hispanic,4,Kings,58964
2005,2,01-09,1,Male,3,Other Non Hispanic,4,Kings,15000
2005,2,01-09,1,Male,5,Hispanic,4,Kings,38692
2005,2,01-09,2,Female,0,Total,4,Kings,159666
2005,2,01-09,2,Female,1,White Non Hispanic,4,Kings,50722
2005,2,01-09,2,Female,2,Black Non Hispanic,4,Kings,57515
2005,2,01-09,2,Female,3,Other Non Hispanic,4,Kings,14003
2005,2,01-09,2,Female,5,Hispanic,4,Kings,37426
2005,3,10-19,0,Total,0,Total,4,Kings,348571
2005,3,10-19,0,Total,1,White Non Hispanic,4,Kings,103522
2005,3,10-19,0,Total,2,Black Non Hispanic,4,Kings,137365
2005,3,10-19,0,Total,3,Other Non Hispanic,4,Kings,29230
2005,3,10-19,0,Total,5,Hispanic,4,Kings,78454
2005,3,10-19,1,Male,0,Total,4,Kings,177615
2005,3,10-19,1,Male,1,White Non Hispanic,4,Kings,54134
2005,3,10-19,1,Male,2,Black Non Hispanic,4,Kings,68175
2005,3,10-19,1,Male,3,Other Non Hispanic,4,Kings,15242
2005,3,10-19,1,Male,5,Hispanic,4,Kings,40064
2005,3,10-19,2,Female,0,Total,4,Kings,170956
2005,3,10-19,2,Female,1,White Non Hispanic,4,Kings,49388
2005,3,10-19,2,Female,2,Black Non Hispanic,4,Kings,69190
2005,3,10-19,2,Female,3,Other Non Hispanic,4,Kings,13988
2005,3,10-19,2,Female,5,Hispanic,4,Kings,38390
