year,pct,sex,race,age,build,city,crimsusp
2014,9,F,P,47,M,MANHATTAN,MISD
2014,9,M,W,45,T,MANHATTAN,MISD
2014,40,M,B,15,M,BRONX,CT
2014,107,M,P,36,M,QUEENS,CPM
2014,40,M,Q,19,M,BRONX,CT
2014,44,M,Q,46,M,BRONX,CRIMINAL TRESPASS
2014,122,M,W,46,H,STATEN ISLAND,BURG
2014,44,M,Q,37,M,BRONX,CPM
2014,102,M,Q,15,M,QUEENS,GLA
2014,9,F,B,23,T,MANHATTAN,MISD
2014,9,M,B,24,M,MANHATTAN,MISD
2014,7,M,P,28,M,MANHATTAN,MISD
2014,90,M,Q,27,T,BROOKLYN,FEL
2014,90,M,Q,26,T,BROOKLYN,FEL
2014,9,F,Q,19,M,MANHATTAN,MISD
2014,84,M,B,63,H,BROOKLYN,CPW
2014,9,M,Q,21,M,MANHATTAN,MISD
2014,120,M,W,31,M,STATEN ISLAND,CPCS
2014,73,M,B,22,M,BROOKLYN,CPW
